                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0525,                 2.8718,                 1.3031,                0.92452,                0.12188,                0.35553,                0.24888,                 1.1556,                 3.6208,                 1.3015,              0.0004085,              0.0004085,              0.0004085
                      2,                0.94055,                 1.8487,                 1.2101,                0.65147,                0.52813,                0.54569,                0.16728,                 1.3934,                 3.0061,                 1.7268,             0.00081349,             0.00081349,             0.00081349
                      3,                0.92075,                 1.5854,                 1.1842,                0.80561,                0.48273,                0.69973,                0.44751,                0.92134,                 2.2096,                 1.3655,              0.0012067,              0.0012067,              0.0012067
                      4,                0.92209,                 1.4406,                 1.1965,                0.66722,                0.39932,                0.45108,                0.29586,                 1.1014,                 2.4053,                 1.3054,               0.001197,               0.001197,               0.001197
                      5,                0.88283,                 1.2388,                 1.1662,                0.76401,                0.86265,                0.94277,                0.55135,                 0.9696,                 1.6017,                 1.2556,              0.0011793,              0.0011793,              0.0011793
                      6,                0.86342,                 1.1698,                 1.1612,                 0.9764,                0.35287,                0.47195,                0.34681,                 1.0327,                 1.6033,                 1.2864,              0.0011616,              0.0011616,              0.0011616
                      7,                0.84571,                 1.0729,                  1.153,                0.55504,                0.65544,                0.62582,                0.48304,                0.84896,                  1.089,                 1.2037,              0.0011439,              0.0011439,              0.0011439
                      8,                0.83984,                 1.0015,                 1.1321,                0.97845,                0.46204,                0.51935,                 0.4001,                0.80511,                 1.1215,                 1.1269,              0.0011263,              0.0011263,              0.0011263
                      9,                0.79704,                0.91892,                 1.1064,                0.95122,                0.41058,                0.69889,                0.49496,                0.92929,                 1.4045,                 1.2214,              0.0011086,              0.0011086,              0.0011086
                     10,                0.75787,                0.87269,                 1.0852,                0.99692,                0.40119,                0.67792,                0.46321,                0.78899,                0.91853,                  1.122,              0.0010909,              0.0010909,              0.0010909
